episode_length,speed,alpha,reward
3,21.96812218120806,19.120661130959,0.19441361999760903
11,31.751883733446547,33.83879710774386,0.08816797944630758
5,29.29427184482994,26.886363484251948,0.1325347437079857
5,12.417549725326978,6.115771750766278,0.22149906067788375
10,32.962842312139436,29.761848045161926,0.10977860966797039
9,29.95846325405147,28.17263765079774,0.09895464503399451
3,22.1382598003643,20.548264524815377,0.17044865948313156
9,32.66418448677276,22.145943302603154,0.12886913754046622
8,30.61910427553971,32.41459592270963,0.10502561430541604
9,31.77046927270939,37.22974476478187,0.07574794266709793
8,30.963706629044573,40.6095081955215,0.06129755271985661
10,32.88047286080564,31.837020873566743,0.1224849520876103
8,30.237066557928404,22.881239212986035,0.14881455795866008
17,34.12898449488058,58.259196042727915,0.08017820749255336
9,33.75970866802499,29.073446481183925,0.14045858854626236
11,31.318965130748108,29.011333240506257,0.10800713703737312
801,22.748851213332347,9.498233056190015,0.23014615998939472
4,26.15834090344038,23.860877722556587,0.1470822412959815
11,32.0711687246892,34.7016201961618,0.12268328269495767
3,21.66017084828562,38.721536830658884,0.10097066743697795
12,24.530126746327447,38.59037150954185,0.08113656159079648
12,30.900225226852225,33.565056544436594,0.10326650971182526
9,30.148137880104557,44.20606554212027,0.05423382831642614
13,26.94701538458454,41.477175842491505,0.07768330816789942
11,31.46369298444313,36.83733765479724,0.08635545836214911
3,22.81438888521433,37.732233865615875,0.15512000331825587
14,25.67053887399681,42.56956233667227,0.09632834024988887
5,28.040773623820627,25.6159713222821,0.10709578476507937
11,26.036745889911803,36.78816220616193,0.0879483369947546
8,32.86962414696457,31.502375708301813,0.10418417361186452
4,26.013415009693013,23.268924924556583,0.15010830485539647
3,21.1726690229223,30.018390171267328,0.09230979654171804
5,29.184602398908307,25.67041210912968,0.09883246316291497
3,21.80210317482771,24.632394030842548,0.12542205773823645
11,29.37102213396428,32.91287170727433,0.08314552961948943
3.858,22.482,33.909,0.134
8.374,32.202,31.098,0.113
8.796,29.909,32.023,0.093
12.195,29.678,40.528,0.068
12.439,30.384,36.557,0.12
10.246,29.72,42.027,0.063
3.138,19.86,32.557,0.085
9.982,30.777,35.319,0.129
8.185,30.64,24.322,0.112
9.719,31.814,31.563,0.081
10.908,33.314,38.641,0.097
3.299,21.882,22.22,0.122
9.27,31.347,26.635,0.12
4.27,26.317,16.402,0.152
3.765,23.032,32.14,0.169
10.776,31.581,37.949,0.091
5.588,28.784,29.461,0.155
3.219,22.536,20.392,0.186
8.508,30.489,24.669,0.122
4.457,23.68,23.546,0.146
3.824,22.575,36.989,0.105
10.599,31.869,23.992,0.132
12.438,31.08,38.071,0.088
7.873,31.305,21.448,0.15
3.562,22.864,16.225,0.136
8.758,27.877,37.786,0.076
4.641,26.732,25.345,0.106
10.472,32.074,33.322,0.101
10.937,31.784,33.864,0.095
9.244,30.508,28.196,0.12
9.273,29.378,28.78,0.119
12.399,31.924,43.631,0.102
3.231,23.266,17.499,0.22
3.043,19.685,37.575,0.093
5.808,28.472,28.034,0.146
5.885,30.008,29.152,0.129
4.778,23.82,24.545,0.104
11.069,31.693,34.658,0.107
5.259,29.938,21.758,0.176
8.719,31.482,26.939,0.131
8.465,30.853,34.744,0.097
5.661,29.189,23.937,0.13
12.002,24.348,34.99,0.099
10.354,32.686,30.578,0.129
10.556,30.995,31.343,0.127
3.184,23.318,20.893,0.192
7.538,31.84,27.204,0.135
11.224,30.058,34.052,0.098
9.584,29.549,28.617,0.123
