finished,total_step,episode_length,total_speed,avg_speed,total_alpha,avg_alpha,total_reward,avg_reward,total_action,action_change_count,action_forward,action_forward_left,action_forward_right
True,305,14.381,7271.081,23.84,5226.134,17.135,51.057,0.167,306,41,65,92,149
True,303,14.383,7139.368,23.562,5564.424,18.364,42.53,0.14,304,42,50,105,149
False,316,14.838,7356.345,23.28,5210.628,16.489,54.446,0.172,317,51,53,105,159
True,311,14.348,7431.669,23.896,4698.143,15.107,53.009,0.17,312,53,42,121,149
True,310,14.427,7208.959,23.255,4607.009,14.861,61.227,0.198,311,42,55,108,148
True,309,14.356,7448.6,24.106,5125.085,16.586,55.066,0.178,310,35,64,97,149
True,308,14.313,7221.913,23.448,4379.535,14.219,51.51,0.167,309,44,56,103,150
True,323,14.953,7532.2,23.32,5435.066,16.827,57.78,0.179,324,54,53,108,163
True,290,13.605,7272.354,25.077,4707.587,16.233,58.295,0.201,291,44,95,76,120
True,322,14.87,7541.655,23.421,5749.492,17.856,55.985,0.174,323,45,52,113,158
True,311,14.575,7238.373,23.275,4646.525,14.941,49.2,0.158,312,49,57,106,149
True,307,14.301,7428.339,24.197,5211.647,16.976,59.675,0.194,308,41,65,98,145
True,309,14.432,7382.946,23.893,4861.883,15.734,56.291,0.182,310,49,47,108,155
False,317,14.72,7430.222,23.439,4868.688,15.359,55.724,0.176,318,40,45,113,160
False,307,14.305,7224.91,23.534,5275.585,17.184,52.989,0.173,308,47,60,101,147
False,322,14.947,7418.867,23.04,5288.995,16.425,55.587,0.173,323,42,58,108,157
True,325,15.058,7421.865,22.837,5223.237,16.071,49.568,0.153,326,48,38,123,165
True,308,14.318,7210.602,23.411,4362.678,14.165,47.797,0.155,309,51,57,107,145
True,311,14.499,7333.446,23.58,5512.75,17.726,53.082,0.171,312,54,62,104,146
True,306,14.254,7336.24,23.975,4390.225,14.347,48.806,0.159,307,38,82,88,137
True,301,13.984,7303.518,24.264,4483.288,14.895,48.978,0.163,302,42,52,104,146
True,327,15.188,7681.724,23.492,6117.474,18.708,48.513,0.148,328,44,48,116,164
True,296,13.848,7154.881,24.172,4466.669,15.09,50.429,0.17,297,48,64,95,138
True,319,14.861,7512.261,23.549,5118.652,16.046,61.351,0.192,320,47,59,103,158
True,306,14.225,7302.555,23.865,5712.232,18.667,46.213,0.151,307,32,66,94,147
True,314,14.603,7297.377,23.24,4247.292,13.526,58.88,0.188,315,42,61,112,142
True,310,14.401,7287.124,23.507,5723.752,18.464,46.298,0.149,311,53,74,93,144
True,310,14.365,7373.633,23.786,5679.096,18.32,47.639,0.154,311,37,63,103,145
True,319,14.811,7515.663,23.56,5342.647,16.748,53.116,0.167,320,45,62,101,157
False,326,15.183,7503.262,23.016,6267.362,19.225,49.816,0.153,327,47,58,105,164
False,319,14.896,7431.851,23.297,5237.033,16.417,54.817,0.172,320,45,51,107,162
True,318,14.645,7567.022,23.796,5371.751,16.892,55.737,0.175,319,44,56,103,160
False,232,10.803,5321.23,22.936,2967.652,12.792,43.492,0.187,233,33,27,89,117
True,313,14.622,7415.336,23.691,5649.423,18.049,51.857,0.166,314,37,53,106,155
True,294,13.752,7224.304,24.572,4343.241,14.773,53.476,0.182,295,40,58,94,143
True,313,14.551,7522.785,24.034,5556.891,17.754,54.542,0.174,314,46,48,110,156
True,307,14.334,7376.201,24.027,4623.863,15.061,46.175,0.15,308,42,42,109,157
True,308,14.352,7373.014,23.938,5548.312,18.014,49.625,0.161,309,40,57,104,148
True,315,14.692,7428.748,23.583,5463.854,17.346,51.137,0.162,316,44,67,94,155
True,321,14.956,7594.434,23.659,6040.448,18.818,49.202,0.153,322,46,38,121,163
True,316,14.819,7491.934,23.709,6036.72,19.104,46.231,0.146,317,43,49,112,156
True,308,14.262,7368.04,23.922,5524.116,17.935,47.494,0.154,309,38,60,101,148
False,325,15.116,7529.103,23.166,5355.978,16.48,58.885,0.181,326,43,47,108,171
True,321,14.799,7599.925,23.676,6006.48,18.712,48.808,0.152,322,46,48,110,164
True,305,14.236,7219.616,23.671,4565.638,14.969,54.64,0.179,306,45,52,104,150
True,307,14.253,7267.522,23.673,4038.184,13.154,54.777,0.178,308,43,44,113,151
True,306,14.295,7317.795,23.914,4663.662,15.241,48.801,0.159,307,36,79,91,137
True,299,13.907,7294.401,24.396,5133.098,17.168,48.371,0.162,300,49,92,84,124
True,317,14.712,7413.101,23.385,4700.25,14.827,50.288,0.159,318,46,62,106,150
False,320,14.864,7432.6,23.227,5790.314,18.095,50.964,0.159,321,44,59,103,159
True,315,14.712,7415.476,23.541,5026.709,15.958,59.591,0.189,316,46,54,108,154
True,307,14.183,7295.38,23.763,4922.116,16.033,49.576,0.161,308,36,60,103,145
True,314,14.661,7234.82,23.041,5787.936,18.433,46.105,0.147,315,41,55,104,156
True,295,13.626,7331.066,24.851,4451.415,15.09,47.066,0.16,296,45,87,84,125
True,317,14.855,7476.004,23.584,5741.373,18.112,48.416,0.153,318,47,40,119,159
True,308,14.122,7417.663,24.083,4378.614,14.216,60.83,0.198,309,47,46,110,153
True,305,14.254,7215.844,23.659,4033.298,13.224,54.309,0.178,306,43,53,104,149
True,313,14.505,7379.938,23.578,5076.292,16.218,52.519,0.168,314,46,44,112,158
True,315,14.677,7222.791,22.929,4234.463,13.443,50.912,0.162,316,45,52,112,152
True,311,14.41,7378.967,23.727,4663.124,14.994,49.289,0.158,312,52,36,118,158
True,296,13.754,7201.124,24.328,4355.556,14.715,53.095,0.179,297,52,53,98,146
True,312,14.499,7303.507,23.409,4223.845,13.538,57.832,0.185,313,51,45,110,158
False,208,9.732,4751.823,22.845,3072.267,14.771,37.84,0.182,209,33,24,79,106
True,314,14.566,7466.256,23.778,4988.333,15.886,53.949,0.172,315,43,41,111,163
True,313,14.626,7454.673,23.817,6125.733,19.571,45.904,0.147,314,45,59,102,153
False,309,14.395,7210.569,23.335,4766.962,15.427,54.387,0.176,310,56,56,105,149
True,313,14.586,7267.199,23.218,6014.21,19.215,48.279,0.154,314,38,70,96,148
True,302,14.001,7348.694,24.333,5110.198,16.921,47.222,0.156,303,43,57,100,146
